week,opponent,result
1,JAX,WIN
2,BUF,LOSS
3,SEA,LOSS
4,TEN,LOSS
5,NE,WIN
6,BYE,BYE
7,IND,LOSS
8,ARI,LOSS
9,BUF,LOSS
10,LAR,WIN
11,LV,WIN
12,NE,WIN
13,GB,LOSS
14,NYJ,WIN
15,HOU,LOSS
16,SF,WIN
17,CLE,WIN
18,NYJ,LOSS
