team,player,category,FUM,LOST
CHI,Andy Dalton,fumbles,1,1
CHI,Bilal Nichols,fumbles,0,0
CHI,Caleb Johnson,fumbles,0,0
CHI,Cole Kmet,fumbles,0,0
CHI,Damiere Byrd,fumbles,1,1
CHI,David Montgomery,fumbles,1,1
CHI,DeAndre Houston-Carson,fumbles,0,0
CHI,Germain Ifedi,fumbles,0,0
CHI,Jakeem Grant Sr.,fumbles,1,1
CHI,Justin Fields,fumbles,12,5
CHI,Khalil Herbert,fumbles,1,0
CHI,Khalil Mack,fumbles,0,0
CHI,Khyiris Tonga,fumbles,0,0
CHI,Marquise Goodwin,fumbles,1,0
CHI,Nick Foles,fumbles,1,0
CHI,Nsimba Webster,fumbles,1,0
CHI,Ryan Nall,fumbles,0,0
CHI,Sam Mustipher,fumbles,5,0
CHI,Tashaun Gipson Sr.,fumbles,0,0
CHI,Trevis Gipson,fumbles,0,0
