team,player,category,INT,YDS,TD
ARI,Krys Barnes,interceptions,1,46,0
ARI,Jalen Thompson,interceptions,1,0,0
ARI,Antonio Hamilton Sr.,interceptions,1,0,0
BUF,Rasul Douglas,interceptions,2,8,0
CHI,Tremaine Edmunds,interceptions,1,10,0
CHI,Tyrique Stevenson,interceptions,1,5,0
CHI,T.J. Edwards,interceptions,1,2,0
DAL,DaRon Bland,interceptions,1,30,1
DEN,Ja'Quan McMillian,interceptions,1,9,0
HOU,Derek Stingley Jr.,interceptions,1,0,0
KC,L'Jarius Sneed,interceptions,1,0,0
LAR,Derion Kendrick,interceptions,1,0,0
LV,Isaiah Pola-Mao,interceptions,1,0,0
MIA,Jaelan Phillips,interceptions,1,5,0
MIA,Jalen Ramsey,interceptions,2,3,0
NYG,Darnay Holmes,interceptions,1,2,0
NYG,Isaiah Simmons,interceptions,1,54,1
NYG,Nick McCloud,interceptions,1,0,0
NYJ,Ashtyn Davis,interceptions,1,51,0
PHI,Kevin Byard,interceptions,1,0,0
PIT,Chandon Sullivan,interceptions,1,0,0
SEA,Riq Woolen,interceptions,1,0,0
SF,Ji'Ayir Brown,interceptions,1,0,0
