team,player,category,PCT,LONG,PTS,FG_MADE,FG_ATT,EX_MADE,EX_ATT
ARI,Matt Prater,kicking,100.0,57,4,1,1,1,1
BAL,Justin Tucker,kicking,100.0,47,10,2,2,4,4
BUF,Tyler Bass,kicking,100.0,50,14,4,4,2,3
CAR,Eddy Pineiro,kicking,100.0,42,4,1,1,1,1
CHI,Cairo Santos,kicking,100.0,53,14,4,4,2,2
CIN,Evan McPherson,kicking,67.0,50,8,2,3,2,2
CLE,Dustin Hopkins,kicking,100.0,34,7,2,2,1,1
DAL,Brandon Aubrey,kicking,100.0,30,9,2,2,3,4
DEN,Wil Lutz,kicking,100.0,52,15,5,5,0,0
DET,Riley Patterson,kicking,0.0,0,3,0,0,3,3
GB,Anders Carlson,kicking,50.0,28,5,1,2,2,3
HOU,Matt Ammendola,kicking,0.0,0,3,0,1,3,3
JAX,Brandon McManus,kicking,100.0,30,10,2,2,4,4
KC,Harrison Butker,kicking,100.0,43,5,1,1,2,2
LAC,Cameron Dicker,kicking,100.0,26,8,2,2,2,2
LAR,Lucas Havrisik,kicking,100.0,22,5,1,1,2,2
LV,Daniel Carlson,kicking,100.0,47,7,2,2,1,1
MIA,Jason Sanders,kicking,67.0,51,8,2,3,2,2
MIN,Greg Joseph,kicking,100.0,34,8,2,2,2,2
NYG,Randy Bullock,kicking,100.0,36,7,1,1,4,4
PHI,Jake Elliott,kicking,0.0,0,3,0,0,3,3
PIT,Chris Boswell,kicking,100.0,28,4,1,1,1,1
SEA,Jason Myers,kicking,75.0,54,10,3,4,1,1
SF,Jake Moody,kicking,100.0,37,9,2,2,3,3
TB,Chase McLaughlin,kicking,0.0,0,2,0,0,2,2
TEN,Nick Folk,kicking,0.0,0,2,0,0,2,2
WSH,Joey Slye,kicking,100.0,42,7,2,2,1,2
