team,player,category,NO,YDS,AVG,TB,In 20,LONG
ARI,Blake Gillikin,punting,2,107,53.5,0,0,59
BAL,Jordan Stout,punting,4,182,45.5,1,1,56
BUF,Sam Martin,punting,3,104,34.7,0,1,39
CAR,Johnny Hekker,punting,5,242,48.4,1,1,61
CHI,Trenton Gill,punting,2,91,45.5,1,0,47
CIN,Brad Robbins,punting,5,217,43.4,1,0,53
CLE,Corey Bojorquez,punting,8,380,47.5,1,3,65
DAL,Bryan Anger,punting,3,176,58.7,1,1,63
DEN,Riley Dixon,punting,4,217,54.3,1,0,68
DET,Jack Fox,punting,2,97,48.5,0,2,60
GB,Daniel Whelan,punting,4,193,48.3,1,2,61
HOU,Cameron Johnston,punting,2,94,47.0,0,1,50
JAX,Logan Cooke,punting,2,103,51.5,0,1,54
KC,Tommy Townsend,punting,6,256,42.7,1,0,55
LAC,JK Scott,punting,3,143,47.7,0,1,57
LAR,Ethan Evans,punting,5,263,52.6,0,1,65
LV,AJ Cole,punting,6,315,52.5,0,2,61
MIA,Jake Bailey,punting,3,143,47.7,0,2,66
MIN,Ryan Wright,punting,2,95,47.5,2,0,48
NYG,Jamie Gillan,punting,7,318,45.4,1,2,56
NYJ,Thomas Morstead,punting,6,297,49.5,1,1,56
PHI,Braden Mann,punting,7,334,47.7,0,1,63
PIT,Pressley Harvin III,punting,9,355,39.4,0,4,48
SEA,Michael Dickson,punting,4,202,50.5,0,2,62
SF,Mitch Wishnowsky,punting,3,153,51.0,0,0,60
TB,Jake Camarda,punting,3,144,48.0,0,1,56
TEN,Ryan Stonehouse,punting,4,214,53.5,1,2,73
WSH,Tress Way,punting,2,90,45.0,0,0,50
