team,player,category,YDS,AVG,TD,INT,SACKS,COMP,ATT
ARI,Kyler Murray,passing,214,7.1,1,1,3,20,30
BAL,Lamar Jackson,passing,264,10.2,2,0,3,16,26
BUF,Josh Allen,passing,275,8.6,3,1,1,20,32
CAR,Bryce Young,passing,123,4.2,1,1,7,16,29
CHI,Justin Fields,passing,169,7.3,1,0,2,16,23
CIN,Joe Burrow,passing,101,5.9,1,0,2,11,17
CIN,Jake Browning,passing,68,4.9,1,0,3,8,14
CLE,Dorian Thompson-Robinson,passing,165,3.8,0,1,1,24,43
DAL,Dak Prescott,passing,189,5.0,2,0,0,25,38
DAL,Cooper Rush,passing,15,5.0,0,0,0,2,3
DEN,Russell Wilson,passing,259,7.4,1,0,2,27,35
DET,Jared Goff,passing,236,6.7,2,3,2,23,35
GB,Jordan Love,passing,322,8.1,2,0,3,27,40
HOU,Tank Dell,passing,0,0.0,0,0,1,0,0
HOU,Davis Mills,passing,2,2.0,0,0,0,1,1
HOU,C.J. Stroud,passing,336,9.1,2,3,3,27,37
JAX,Trevor Lawrence,passing,262,8.2,2,0,1,24,32
KC,Patrick Mahomes,passing,177,4.1,2,1,1,24,43
LAC,Justin Herbert,passing,260,7.2,2,0,2,21,36
LAR,Matthew Stafford,passing,190,6.1,1,1,1,17,31
LV,Aidan O'Connell,passing,271,6.6,1,3,2,24,41
MIA,Tua Tagovailoa,passing,325,8.3,2,1,1,28,39
MIN,Joshua Dobbs,passing,221,6.9,1,1,2,20,32
NYG,Tommy DeVito,passing,246,9.5,3,0,9,18,26
NYJ,Thomas Morstead,passing,18,18.0,0,0,0,1,1
NYJ,Tim Boyle,passing,33,2.4,0,1,1,7,14
NYJ,Zach Wilson,passing,81,5.4,1,1,5,7,15
PHI,Jalen Hurts,passing,150,6.8,0,1,5,14,22
PIT,Kenny Pickett,passing,106,3.8,0,0,3,15,28
SEA,Geno Smith,passing,233,6.9,1,0,2,22,34
SEA,Drew Lock,passing,3,0.5,0,1,0,2,6
SF,Brock Purdy,passing,333,13.3,3,0,4,21,25
TB,Baker Mayfield,passing,246,5.5,1,1,4,29,45
TEN,Will Levis,passing,158,9.3,2,0,2,13,17
WSH,Sam Howell,passing,256,5.7,1,3,4,31,45
