team,player,category,NO,YDS,AVG,TB,In 20,LONG
ARI,Andy Lee,punting,3,136,45.3,1,1,56
ATL,Bradley Pinion,punting,1,44,44.0,0,0,44
BAL,Jordan Stout,punting,2,81,40.5,0,0,45
BUF,Sam Martin,punting,3,145,48.3,0,2,57
CAR,Johnny Hekker,punting,5,212,42.4,0,4,50
CHI,Trenton Gill,punting,4,198,49.5,0,1,57
CIN,Kevin Huber,punting,5,236,47.2,0,1,63
CLE,Corey Bojorquez,punting,3,156,52.0,0,2,63
DAL,Bryan Anger,punting,5,217,43.4,0,4,51
DEN,Corliss Waitman,punting,5,214,42.8,2,1,50
DET,Jack Fox,punting,5,277,55.4,0,1,63
GB,Pat O'Donnell,punting,2,122,61.0,1,1,72
HOU,Cameron Johnston,punting,5,268,53.6,0,2,64
IND,Matt Haack,punting,5,227,45.4,0,3,53
JAX,Logan Cooke,punting,5,228,45.6,1,1,55
KC,Tommy Townsend,punting,6,333,55.5,1,3,74
LAC,JK Scott,punting,6,243,40.5,0,3,53
LV,AJ Cole,punting,3,161,53.7,0,0,66
MIA,Thomas Morstead,punting,2,82,41.0,0,1,44
MIN,Ryan Wright,punting,5,246,49.2,0,3,58
NE,Jake Bailey,punting,4,166,41.5,2,1,58
NO,Blake Gillikin,punting,5,218,43.6,0,2,54
NYG,Jamie Gillan,punting,5,253,50.6,1,0,67
NYJ,Braden Mann,punting,4,189,47.3,0,2,50
PHI,Arryn Siposs,punting,4,179,44.8,0,2,49
PIT,Pressley Harvin III,punting,4,206,51.5,1,0,69
SEA,Michael Dickson,punting,5,249,49.8,0,1,54
SF,Mitch Wishnowsky,punting,3,132,44.0,0,2,47
TB,Jake Camarda,punting,6,229,38.2,0,3,49
TEN,Ryan Stonehouse,punting,6,333,55.5,1,2,64
WSH,Tress Way,punting,6,284,47.3,1,1,62
