team,player,category,PCT,LONG,PTS,FG_MADE,FG_ATT,EX_MADE,EX_ATT
ARI,Matt Prater,kicking,0.0,0,1,0,0,1,1
ATL,Younghoe Koo,kicking,50.0,26,5,1,2,2,2
BAL,Justin Tucker,kicking,100.0,51,8,1,1,5,5
BUF,Tyler Bass,kicking,100.0,49,11,2,2,5,5
CAR,Eddy Pineiro,kicking,100.0,38,10,3,3,1,1
CHI,Cairo Santos,kicking,100.0,44,4,1,1,1,1
CIN,Evan McPherson,kicking,100.0,50,9,3,3,0,0
CLE,Cade York,kicking,100.0,22,6,1,1,3,4
DAL,Brett Maher,kicking,100.0,54,8,2,2,2,2
DEN,Brandon McManus,kicking,100.0,50,10,3,3,1,1
DET,Austin Seibert,kicking,100.0,48,10,2,2,4,4
GB,Mason Crosby,kicking,100.0,40,9,2,2,3,3
HOU,Ka'imi Fairbairn,kicking,100.0,44,9,3,3,0,0
JAX,Riley Patterson,kicking,100.0,52,6,1,1,3,3
KC,Matt Ammendola,kicking,100.0,31,9,2,2,3,3
LAC,Dustin Hopkins,kicking,100.0,31,6,1,1,3,3
LAR,Matt Gay,kicking,100.0,20,7,1,1,4,4
LV,Daniel Carlson,kicking,100.0,55,11,3,3,2,2
MIA,Jason Sanders,kicking,0.0,0,6,0,0,6,6
MIN,Greg Joseph,kicking,0.0,0,1,0,0,1,1
NE,Nick Folk,kicking,50.0,28,5,1,2,2,2
NO,Wil Lutz,kicking,100.0,31,4,1,1,1,1
NYG,Graham Gano,kicking,100.0,56,13,4,4,1,1
NYJ,Greg Zuerlein,kicking,100.0,57,7,1,1,4,4
PHI,Jake Elliott,kicking,50.0,38,6,1,2,3,3
PIT,Chris Boswell,kicking,100.0,52,6,2,2,0,0
SEA,Jason Myers,kicking,0.0,0,1,0,0,1,1
SF,Robbie Gould,kicking,67.0,33,9,2,3,3,3
TB,Ryan Succop,kicking,100.0,47,8,2,2,2,2
TEN,Randy Bullock,kicking,0.0,0,1,0,0,1,1
WSH,Joey Slye,kicking,0.0,0,1,0,0,1,2
