team,player,category,YDS,AVG,TD,INT,SACKS,QBR,RTG,COMP,ATT
PIT,Aaron Rodgers,passing,3322,6.79,24,7,0.0,44.91,95.29,327,498
PIT,Mason Rudolph,passing,310,4.85,2,2,0.0,25.68,74.28,38,52
