team,player,category,PCT,LONG,PTS,FG_MADE,FG_ATT,EX_MADE,EX_ATT
ARI,Tristan Vizcaino,kicking,100.0,46,9,2,2,3,3
ATL,Younghoe Koo,kicking,100.0,33,3,1,1,0,2
BUF,Tyler Bass,kicking,100.0,45,12,3,3,3,3
CAR,Eddy Pineiro,kicking,100.0,49,13,4,4,1,2
CHI,Cairo Santos,kicking,100.0,33,6,1,1,3,4
CLE,Cade York,kicking,100.0,37,5,1,1,2,2
DAL,Brett Maher,kicking,0.0,0,4,0,0,4,4
DEN,Brandon McManus,kicking,100.0,39,4,1,1,1,1
DET,Michael Badgley,kicking,100.0,25,7,1,1,4,4
GB,Mason Crosby,kicking,50.0,28,7,1,2,4,4
HOU,Ka'imi Fairbairn,kicking,100.0,46,10,3,3,1,1
IND,Chase McLaughlin,kicking,67.0,48,7,2,3,1,1
JAX,Riley Patterson,kicking,33.0,35,5,1,3,2,2
KC,Harrison Butker,kicking,0.0,0,3,0,0,3,4
LAC,Cameron Dicker,kicking,100.0,47,10,3,3,1,1
LAR,Matt Gay,kicking,100.0,36,5,1,1,2,2
LV,Daniel Carlson,kicking,0.0,0,2,0,0,2,2
MIA,Jason Sanders,kicking,100.0,39,9,2,2,3,5
MIN,Greg Joseph,kicking,100.0,33,9,2,2,3,4
NO,Wil Lutz,kicking,100.0,44,4,1,1,1,1
NYG,Graham Gano,kicking,100.0,49,6,1,1,3,3
PHI,Jake Elliott,kicking,0.0,0,3,0,0,3,3
PIT,Matthew Wright,kicking,50.0,33,8,2,4,2,2
SEA,Jason Myers,kicking,100.0,55,4,1,1,1,1
SF,Robbie Gould,kicking,100.0,26,10,3,3,1,2
TB,Ryan Succop,kicking,0.0,0,3,0,1,3,3
TEN,Randy Bullock,kicking,100.0,35,5,1,1,2,2
WSH,Joey Slye,kicking,100.0,58,14,4,4,2,2
