team,player,category,INT,YDS,TD
ARI,Budda Baker,interceptions,1,53,0
BUF,Christian Benford,interceptions,1,35,0
BUF,Dane Jackson,interceptions,1,11,0
CAR,Jaycee Horn,interceptions,1,18,0
DET,Jeff Okudah,interceptions,1,20,1
GB,Rudy Ford,interceptions,2,68,0
JAX,Andre Cisco,interceptions,1,8,0
MIN,Patrick Peterson,interceptions,2,46,0
NYG,Dane Belton,interceptions,1,0,0
PHI,C.J. Gardner-Johnson,interceptions,1,0,0
PIT,Damontae Kazee,interceptions,1,2,0
PIT,Levi Wallace,interceptions,1,0,0
SEA,Riq Woolen,interceptions,1,0,0
SEA,Cody Barton,interceptions,1,1,0
SF,Talanoa Hufanga,interceptions,1,6,0
TEN,Terrance Mitchell,interceptions,1,1,0
WSH,Darrick Forrest,interceptions,1,0,0
