team,player,category,YDS,AVG,TD,INT,SACKS,COMP,ATT
ARI,Colt McCoy,passing,238,6.4,1,0,2,26,37
ATL,Marcus Mariota,passing,186,6.2,2,1,5,19,30
BUF,Josh Allen,passing,330,7.7,1,2,2,29,43
CAR,PJ Walker,passing,108,6.8,0,0,1,10,16
CHI,Justin Fields,passing,167,8.4,2,1,3,12,20
CLE,Jacoby Brissett,passing,212,6.1,1,0,3,22,35
DAL,Dak Prescott,passing,265,5.8,3,2,2,27,46
DEN,Russell Wilson,passing,286,6.8,1,1,6,21,42
DET,Jared Goff,passing,236,9.1,1,0,2,19,26
GB,Aaron Rodgers,passing,224,11.2,3,0,2,14,20
HOU,Davis Mills,passing,319,8.6,1,1,4,22,37
IND,Matt Ryan,passing,222,7.9,1,0,1,21,28
JAX,Trevor Lawrence,passing,259,6.5,2,0,5,29,40
KC,Patrick Mahomes,passing,331,9.5,4,1,0,26,35
LAC,Justin Herbert,passing,196,5.6,1,1,2,21,35
LAC,Chase Daniel,passing,0,0.0,0,0,1,0,2
LAR,John Wolford,passing,212,5.9,1,1,3,24,36
LAR,Bryce Perkins,passing,-3,-3.0,0,0,0,1,1
LV,Derek Carr,passing,248,6.5,2,0,2,24,38
MIA,Cedrick Wilson Jr.,passing,0,0.0,0,0,1,0,0
MIA,Skylar Thompson,passing,17,17.0,0,0,0,1,1
MIA,Tua Tagovailoa,passing,285,8.9,3,0,0,25,32
MIN,Kirk Cousins,passing,357,7.1,1,2,4,30,50
NO,Taysom Hill,passing,0,0.0,0,0,0,0,1
NO,Andy Dalton,passing,174,6.4,1,2,2,17,27
NYG,Daniel Jones,passing,197,11.6,2,0,3,13,17
PHI,Jalen Hurts,passing,175,6.7,2,1,1,17,26
PIT,Kenny Pickett,passing,199,6.6,0,0,6,18,30
SEA,Geno Smith,passing,275,8.3,2,0,3,23,33
SF,Jimmy Garoppolo,passing,240,8.6,0,0,1,19,28
TB,Leonard Fournette,passing,0,0.0,0,1,0,0,1
TB,Tom Brady,passing,258,8.9,2,1,0,22,29
TEN,Ryan Tannehill,passing,255,7.1,2,0,1,19,36
WSH,Taylor Heinicke,passing,211,7.3,0,1,3,17,29
