team,player,category,NO,YDS,AVG,TB,In 20,LONG
ARI,Andy Lee,punting,5,237,47.4,1,1,58
ATL,Bradley Pinion,punting,5,174,34.8,0,2,43
BUF,Sam Martin,punting,3,152,50.7,0,0,58
CAR,Johnny Hekker,punting,5,216,43.2,0,2,52
CHI,Trenton Gill,punting,3,129,43.0,1,1,46
CLE,Corey Bojorquez,punting,1,41,41.0,0,0,41
DAL,Bryan Anger,punting,5,246,49.2,0,3,58
DEN,Corliss Waitman,punting,9,411,45.7,1,0,58
DET,Jack Fox,punting,4,185,46.3,0,0,59
GB,Pat O'Donnell,punting,4,160,40.0,0,3,42
HOU,Cameron Johnston,punting,5,229,45.8,0,2,52
IND,Matt Haack,punting,3,143,47.7,0,1,53
JAX,Logan Cooke,punting,6,281,46.8,2,2,63
KC,Tommy Townsend,punting,2,91,45.5,0,1,51
LAC,JK Scott,punting,5,200,40.0,1,1,44
LAR,Riley Dixon,punting,5,252,50.4,1,0,60
LV,AJ Cole,punting,5,294,58.8,0,3,67
MIN,Ryan Wright,punting,3,149,49.7,0,0,59
NO,Blake Gillikin,punting,5,259,51.8,1,2,62
NYG,Jamie Gillan,punting,6,242,40.3,1,1,49
PHI,Arryn Siposs,punting,3,141,47.0,0,0,53
PIT,Pressley Harvin III,punting,3,123,41.0,0,2,48
SEA,Michael Dickson,punting,5,253,50.6,0,4,68
SF,Mitch Wishnowsky,punting,4,132,33.0,0,1,40
TB,Jake Camarda,punting,2,122,61.0,0,0,63
TEN,Ryan Stonehouse,punting,8,432,54.0,2,3,74
WSH,Tress Way,punting,2,87,43.5,0,1,50
