team,player,category,NO,YDS,AVG,TB,In 20,LONG
NYJ,Braden Mann,punting,41,1875,45.89,1,14,63
NYJ,Matt Ammendola,punting,6,291,48.5,0,2,65
NYJ,Thomas Morstead,punting,23,1108,48.03,0,7,59
