team,player,category,YDS,AVG,TD,INT,SACKS,QBR,RTG,COMP,ATT
TB,Baker Mayfield,passing,4500,8.02,41,16,0.0,57.65,105.9,407,570
TB,Kyle Trask,passing,5,5.0,0,0,0.0,88.1,87.5,1,1
