team,player,category,NO,YDS,AVG,TB,In 20,LONG
TB,Jack Browning,punting,10,425,43.12,1,0,54
TB,Jake Camarda,punting,13,589,43.82,0,5,67
TB,Trenton Gill,punting,27,1169,42.98,1,9,57
