week,opponent,result
1,GB,WIN
2,ATL,LOSS
3,NO,WIN
4,TB,LOSS
6,CLE,WIN
7,NYG,WIN
8,CIN,WIN
9,JAX,WIN
10,DAL,WIN
11,WSH,WIN
12,LAR,WIN
13,BAL,WIN
14,CAR,WIN
15,PIT,WIN
16,WSH,LOSS
17,DAL,WIN
18,NYG,WIN
