team,player,category,FUM,LOST,REC
ATL,Arnold Ebiketie,fumbles,0,0,1
ATL,Bijan Robinson,fumbles,1,0,4
ATL,Clark Phillips III,fumbles,0,0,1
ATL,Drake London,fumbles,0,0,1
ATL,Drew Dalman,fumbles,1,1,2
ATL,Jake Matthews,fumbles,0,0,1
ATL,Jessie Bates III,fumbles,0,0,1
ATL,Kaden Elliss,fumbles,0,0,1
ATL,Kevin King,fumbles,0,0,1
ATL,KhaDarel Hodge,fumbles,0,0,1
ATL,Kirk Cousins,fumbles,13,2,2
ATL,Matthew Bergeron,fumbles,0,0,1
ATL,Michael Penix Jr.,fumbles,2,0,1
ATL,Ray-Ray McCloud III,fumbles,4,2,1
